Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Year
Uttarakhand,2020-02-29,Monthly,5.28,963408.0,35.11,Urban,February
Uttarakhand,2020-03-31,Monthly,8.15,889245.0,33.33,Urban,March
Uttarakhand,2020-04-30,Monthly,13.18,748041.0,29.59,Urban,April
Uttarakhand,2020-05-31,Monthly,17.36,778590.0,32.27,Urban,May
Uttarakhand,2020-06-30,Monthly,5.08,989470.0,35.61,Urban,June
West Bengal,2019-05-31,Monthly,7.25,11306177.0,46.37,Urban,May
West Bengal,2019-06-30,Monthly,7.38,10611498.0,43.51,Urban,June
West Bengal,2019-07-31,Monthly,7.91,10779829.0,44.38,Urban,July
West Bengal,2019-08-31,Monthly,7.27,11456493.0,46.77,Urban,August
West Bengal,2019-09-30,Monthly,7.79,11158649.0,45.74,Urban,September
West Bengal,2019-10-31,Monthly,7.83,10563686.0,43.25,Urban,October
West Bengal,2019-11-30,Monthly,6.61,10768462.0,43.44,Urban,November
West Bengal,2019-12-31,Monthly,7.24,11335696.0,45.97,Urban,December
West Bengal,2020-01-31,Monthly,7.27,11208617.0,45.39,Urban,January
West Bengal,2020-02-29,Monthly,7.55,10871168.0,44.09,Urban,February
West Bengal,2020-03-31,Monthly,6.67,10806105.0,43.34,Urban,March
West Bengal,2020-04-30,Monthly,15.63,9299466.0,41.2,Urban,April
West Bengal,2020-05-31,Monthly,15.22,9240903.0,40.67,Urban,May
West Bengal,2020-06-30,Monthly,9.86,9088931.0,37.57,Urban,June
